Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ORF)
A0A7K7PFC4	unreviewed	A0A7K7PFC4_ACRAR	Epithelial membrane protein 2	Emp2 ACRARU_R03960	Acrocephalus arundinaceus (Great reed-warbler)	167	ACRARU_R03960
A0A7K7PFD2	unreviewed	A0A7K7PFD2_ACRAR	Fibroblast growth factor (FGF)	Fgf2 ACRARU_R06410	Acrocephalus arundinaceus (Great reed-warbler)	151	ACRARU_R06410
A0A7K7PFD8	unreviewed	A0A7K7PFD8_ACRAR	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase (Alpha-2,8-sialyltransferase 8D) (Polysialyltransferase-1) (Sialyltransferase 8D) (Sialyltransferase St8Sia IV)	St8sia4 ACRARU_R02742	Acrocephalus arundinaceus (Great reed-warbler)	359	ACRARU_R02742
A0A7K7PFE5	unreviewed	A0A7K7PFE5_ACRAR	Glutamate decarboxylase 2 (EC 4.1.1.15) (65 kDa glutamic acid decarboxylase) (Glutamate decarboxylase 65 kDa isoform)	Gad2 ACRARU_R00695	Acrocephalus arundinaceus (Great reed-warbler)	491	ACRARU_R00695
A0A7K7PFM3	unreviewed	A0A7K7PFM3_ACRAR	Beta-1,4-galactosyltransferase (Beta-1,4-GalTase) (EC 2.4.1.-)	B4galt1 ACRARU_R12110	Acrocephalus arundinaceus (Great reed-warbler)	352	ACRARU_R12110
A0A7K7PFP2	unreviewed	A0A7K7PFP2_ACRAR	Synaptosomal-associated protein 29 (Soluble 29 kDa NSF attachment protein) (Vesicle-membrane fusion protein SNAP-29)	Snap29 ACRARU_R00330	Acrocephalus arundinaceus (Great reed-warbler)	251	ACRARU_R00330
A0A7K7PFQ9	unreviewed	A0A7K7PFQ9_ACRAR	DnaJ homolog subfamily A member 1	Dnaja1_0 ACRARU_R13646	Acrocephalus arundinaceus (Great reed-warbler)	384	ACRARU_R13646
A0A7K7PFT3	unreviewed	A0A7K7PFT3_ACRAR	Citrate transport protein	Slc25a1 ACRARU_R00326	Acrocephalus arundinaceus (Great reed-warbler)	281	ACRARU_R00326
A0A7K7PFT9	unreviewed	A0A7K7PFT9_ACRAR	Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein)	Gnai1 ACRARU_R13404	Acrocephalus arundinaceus (Great reed-warbler)	357	ACRARU_R13404
A0A7K7PFX1	unreviewed	A0A7K7PFX1_ACRAR	General vesicular transport factor p115	Uso1 ACRARU_R09393	Acrocephalus arundinaceus (Great reed-warbler)	953	ACRARU_R09393
A0A7K7PFX9	unreviewed	A0A7K7PFX9_ACRAR	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galnt2 ACRARU_R09851	Acrocephalus arundinaceus (Great reed-warbler)	529	ACRARU_R09851
A0A7K7PFY7	unreviewed	A0A7K7PFY7_ACRAR	Unconventional myosin-VI (Unconventional myosin-6)	Myo6 ACRARU_R04068	Acrocephalus arundinaceus (Great reed-warbler)	1308	ACRARU_R04068
A0A7K7PFZ0	unreviewed	A0A7K7PFZ0_ACRAR	E3 ubiquitin-protein ligase CBL (EC 2.3.2.27)	Cblb ACRARU_R08388	Acrocephalus arundinaceus (Great reed-warbler)	1028	ACRARU_R08388
A0A7K7PFZ1	unreviewed	A0A7K7PFZ1_ACRAR	Glutathione S-transferase omega (GSTO) (EC 1.20.4.2) (EC 1.8.5.1) (EC 2.5.1.18) (Glutathione-dependent dehydroascorbate reductase) (Monomethylarsonic acid reductase)	Gsto1 ACRARU_R12680	Acrocephalus arundinaceus (Great reed-warbler)	231	ACRARU_R12680
A0A7K7PFZ6	unreviewed	A0A7K7PFZ6_ACRAR	cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase)	Cars2 ACRARU_R11220	Acrocephalus arundinaceus (Great reed-warbler)	548	ACRARU_R11220
A0A7K7PFZ7	unreviewed	A0A7K7PFZ7_ACRAR	Acyl-CoA synthetase short-chain family member 3, mitochondrial (EC 6.2.1.1) (EC 6.2.1.17) (Acetate--CoA ligase 3) (Propionate--CoA ligase)	Acss3 ACRARU_R08312	Acrocephalus arundinaceus (Great reed-warbler)	686	ACRARU_R08312
A0A7K7PG00	unreviewed	A0A7K7PG00_ACRAR	Sodium/hydrogen exchanger	Slc9a3 ACRARU_R12285	Acrocephalus arundinaceus (Great reed-warbler)	727	ACRARU_R12285
A0A7K7PG13	unreviewed	A0A7K7PG13_ACRAR	Aprataxin (EC 3.6.1.71) (EC 3.6.1.72) (Forkhead-associated domain histidine triad-like protein)	Aptx ACRARU_R12109	Acrocephalus arundinaceus (Great reed-warbler)	346	ACRARU_R12109
A0A7K7PG26	unreviewed	A0A7K7PG26_ACRAR	Solute carrier family 2, facilitated glucose transporter member 3 (GLUT-3) (Glucose transporter type 3)	Slc2a3 ACRARU_R06280	Acrocephalus arundinaceus (Great reed-warbler)	484	ACRARU_R06280
A0A7K7PG37	unreviewed	A0A7K7PG37_ACRAR	Replication protein A subunit	Rpa1 ACRARU_R07579	Acrocephalus arundinaceus (Great reed-warbler)	612	ACRARU_R07579
A0A7K7PG44	unreviewed	A0A7K7PG44_ACRAR	C->U-editing enzyme APOBEC-1 (EC 3.5.4.36) (mRNA(cytosine(6666)) deaminase 1)	Apobec1 ACRARU_R06284	Acrocephalus arundinaceus (Great reed-warbler)	142	ACRARU_R06284
A0A7K7PG83	unreviewed	A0A7K7PG83_ACRAR	RNA helicase (EC 3.6.4.13)	Eif4a3 ACRARU_R06460	Acrocephalus arundinaceus (Great reed-warbler)	410	ACRARU_R06460
A0A7K7PG84	unreviewed	A0A7K7PG84_ACRAR	Long-chain-fatty-acid--CoA ligase ACSBG1 (EC 6.2.1.3) (Acyl-CoA synthetase bubblegum family member 1)	Acsbg1 ACRARU_R13216	Acrocephalus arundinaceus (Great reed-warbler)	644	ACRARU_R13216
A0A7K7PGB0	unreviewed	A0A7K7PGB0_ACRAR	Lysine-specific demethylase (EC 1.14.11.65)	Jmjd1c_0 ACRARU_R06651	Acrocephalus arundinaceus (Great reed-warbler)	1768	ACRARU_R06651
A0A7K7PGE3	unreviewed	A0A7K7PGE3_ACRAR	adenylate cyclase (EC 4.6.1.1)	Adcy9 ACRARU_R02099	Acrocephalus arundinaceus (Great reed-warbler)	1269	ACRARU_R02099
A0A7K7PGG1	unreviewed	A0A7K7PGG1_ACRAR	Galactose mutarotase (EC 5.1.3.3) (Aldose 1-epimerase)	Galm ACRARU_R06459	Acrocephalus arundinaceus (Great reed-warbler)	344	ACRARU_R06459
A0A7K7PGG5	unreviewed	A0A7K7PGG5_ACRAR	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Acsl6 ACRARU_R06310	Acrocephalus arundinaceus (Great reed-warbler)	708	ACRARU_R06310
A0A7K7PGJ9	unreviewed	A0A7K7PGJ9_ACRAR	Lysine-specific demethylase (EC 1.14.11.65)	Jmjd1c_1 ACRARU_R06652	Acrocephalus arundinaceus (Great reed-warbler)	415	ACRARU_R06652
A0A7K7PGL0	unreviewed	A0A7K7PGL0_ACRAR	[heparan sulfate]-glucosamine N-sulfotransferase (EC 2.8.2.8)	Ndst2 ACRARU_R03403	Acrocephalus arundinaceus (Great reed-warbler)	879	ACRARU_R03403
A0A7K7PGP4	unreviewed	A0A7K7PGP4_ACRAR	PDZ and LIM domain protein 4	Pdlim4_0 ACRARU_R11033	Acrocephalus arundinaceus (Great reed-warbler)	330	ACRARU_R11033
A0A7K7PGQ4	unreviewed	A0A7K7PGQ4_ACRAR	6-phosphofructokinase type C (Phosphofructo-1-kinase isozyme C)	Pfkp ACRARU_R09405	Acrocephalus arundinaceus (Great reed-warbler)	787	ACRARU_R09405
A0A7K7PGR1	unreviewed	A0A7K7PGR1_ACRAR	Anion exchange protein	Slc4a4 ACRARU_R03264	Acrocephalus arundinaceus (Great reed-warbler)	1081	ACRARU_R03264
A0A7K7PGT6	unreviewed	A0A7K7PGT6_ACRAR	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Rnf2 ACRARU_R13897	Acrocephalus arundinaceus (Great reed-warbler)	336	ACRARU_R13897
A0A7K7PGU0	unreviewed	A0A7K7PGU0_ACRAR	GLRA4 protein	Glra4 ACRARU_R05951	Acrocephalus arundinaceus (Great reed-warbler)	433	ACRARU_R05951
A0A7K7PGV5	unreviewed	A0A7K7PGV5_ACRAR	Lon protease homolog (EC 3.4.21.-)	Lonp1 ACRARU_R03364	Acrocephalus arundinaceus (Great reed-warbler)	845	ACRARU_R03364
A0A7K7PGX7	unreviewed	A0A7K7PGX7_ACRAR	Tyrosine-protein kinase (EC 2.7.10.2)	Btk ACRARU_R05952	Acrocephalus arundinaceus (Great reed-warbler)	658	ACRARU_R05952
A0A7K7PH11	unreviewed	A0A7K7PH11_ACRAR	Fibroblast growth factor (FGF)	Fgf10 ACRARU_R14064	Acrocephalus arundinaceus (Great reed-warbler)	212	ACRARU_R14064
A0A7K7PH36	unreviewed	A0A7K7PH36_ACRAR	Beta-1,3-N-acetylglucosaminyltransferase radical fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)	Rfng ACRARU_R04548	Acrocephalus arundinaceus (Great reed-warbler)	321	ACRARU_R04548
A0A7K7PH43	unreviewed	A0A7K7PH43_ACRAR	alpha-1,2-Mannosidase (EC 3.2.1.-)	Edem3 ACRARU_R12327	Acrocephalus arundinaceus (Great reed-warbler)	888	ACRARU_R12327
A0A7K7PH49	unreviewed	A0A7K7PH49_ACRAR	non-specific serine/threonine protein kinase (EC 2.7.11.1)	Trio ACRARU_R07951	Acrocephalus arundinaceus (Great reed-warbler)	3012	ACRARU_R07951
A0A7K7PH68	unreviewed	A0A7K7PH68_ACRAR	Neuroendocrine convertase 1 (EC 3.4.21.93) (Prohormone convertase 1) (Proprotein convertase 1)	Pcsk1 ACRARU_R09017	Acrocephalus arundinaceus (Great reed-warbler)	749	ACRARU_R09017
A0A7K7PHB5	unreviewed	A0A7K7PHB5_ACRAR	Superoxide dismutase (EC 1.15.1.1)	Sod2 ACRARU_R05269	Acrocephalus arundinaceus (Great reed-warbler)	229	ACRARU_R05269
A0A7K7PHF9	unreviewed	A0A7K7PHF9_ACRAR	Extracellular calcium-sensing receptor	Casr ACRARU_R04015	Acrocephalus arundinaceus (Great reed-warbler)	994	ACRARU_R04015
A0A7K7PHH3	unreviewed	A0A7K7PHH3_ACRAR	Casein kinase I isoform gamma-1 (EC 2.7.11.1)	Csnk1g1 ACRARU_R10540	Acrocephalus arundinaceus (Great reed-warbler)	444	ACRARU_R10540
A0A7K7PHH5	unreviewed	A0A7K7PHH5_ACRAR	polynucleotide adenylyltransferase (EC 2.7.7.19)	Papolg ACRARU_R07776	Acrocephalus arundinaceus (Great reed-warbler)	640	ACRARU_R07776
A0A7K7PHH6	unreviewed	A0A7K7PHH6_ACRAR	LRP5 protein	Lrp5 ACRARU_R03712	Acrocephalus arundinaceus (Great reed-warbler)	1542	ACRARU_R03712
A0A7K7PHH9	unreviewed	A0A7K7PHH9_ACRAR	ROR2 kinase	Ror2 ACRARU_R00854	Acrocephalus arundinaceus (Great reed-warbler)	884	ACRARU_R00854
A0A7K7PHJ6	unreviewed	A0A7K7PHJ6_ACRAR	GABA(C) receptor	Gabrr1 ACRARU_R06469	Acrocephalus arundinaceus (Great reed-warbler)	478	ACRARU_R06469
A0A7K7PHL3	unreviewed	A0A7K7PHL3_ACRAR	methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Vitamin-B12 dependent methionine synthase)	Mtr ACRARU_R05136	Acrocephalus arundinaceus (Great reed-warbler)	1251	ACRARU_R05136
A0A7K7PHP7	unreviewed	A0A7K7PHP7_ACRAR	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)	Rnf19a ACRARU_R12303	Acrocephalus arundinaceus (Great reed-warbler)	819	ACRARU_R12303
A0A7K7PHT3	unreviewed	A0A7K7PHT3_ACRAR	histone acetyltransferase (EC 2.3.1.48)	Crebbp ACRARU_R02101	Acrocephalus arundinaceus (Great reed-warbler)	2426	ACRARU_R02101
A0A7K7PHV2	unreviewed	A0A7K7PHV2_ACRAR	alpha-1,2-Mannosidase (EC 3.2.1.-)	Man1a2 ACRARU_R00782	Acrocephalus arundinaceus (Great reed-warbler)	643	ACRARU_R00782
A0A7K7PHV7	unreviewed	A0A7K7PHV7_ACRAR	Brain-derived neurotrophic factor (BDNF)	Bdnf ACRARU_R08096	Acrocephalus arundinaceus (Great reed-warbler)	246	ACRARU_R08096
A0A7K7PHW1	unreviewed	A0A7K7PHW1_ACRAR	Glutamate receptor	Grid2_1 ACRARU_R09829	Acrocephalus arundinaceus (Great reed-warbler)	831	ACRARU_R09829
A0A7K7PHW4	unreviewed	A0A7K7PHW4_ACRAR	Tyrosine-protein kinase receptor (EC 2.7.10.1)	Alk_1 ACRARU_R12474	Acrocephalus arundinaceus (Great reed-warbler)	1198	ACRARU_R12474
A0A7K7PHW6	unreviewed	A0A7K7PHW6_ACRAR	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)	Hacd4 ACRARU_R13851	Acrocephalus arundinaceus (Great reed-warbler)	221	ACRARU_R13851
A0A7K7PHX9	unreviewed	A0A7K7PHX9_ACRAR	Kinesin-like protein	Kif3b ACRARU_R07358	Acrocephalus arundinaceus (Great reed-warbler)	740	ACRARU_R07358
A0A7K7PHY6	unreviewed	A0A7K7PHY6_ACRAR	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)	Rnf14 ACRARU_R10323	Acrocephalus arundinaceus (Great reed-warbler)	473	ACRARU_R10323
A0A7K7PHZ3	unreviewed	A0A7K7PHZ3_ACRAR	non-specific serine/threonine protein kinase (EC 2.7.11.1)	Csnk1d ACRARU_R04563	Acrocephalus arundinaceus (Great reed-warbler)	397	ACRARU_R04563
A0A7K7PI12	unreviewed	A0A7K7PI12_ACRAR	Ras-related protein Rab-27A	Rab27a ACRARU_R14034	Acrocephalus arundinaceus (Great reed-warbler)	221	ACRARU_R14034
A0A7K7PI72	unreviewed	A0A7K7PI72_ACRAR	Autophagy-related protein 9	Atg9a_0 ACRARU_R13174	Acrocephalus arundinaceus (Great reed-warbler)	851	ACRARU_R13174
A0A7K7PI86	unreviewed	A0A7K7PI86_ACRAR	Protein disulfide-isomerase (EC 5.3.4.1)	Pdia3 ACRARU_R07450	Acrocephalus arundinaceus (Great reed-warbler)	508	ACRARU_R07450
A0A7K7PI93	unreviewed	A0A7K7PI93_ACRAR	Pannexin	Panx1 PANX ACRARU_R10398	Acrocephalus arundinaceus (Great reed-warbler)	412	ACRARU_R10398
A0A7K7PIA0	unreviewed	A0A7K7PIA0_ACRAR	Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (N-acetyl-beta-glucosaminidase subunit alpha)	Hexa ACRARU_R12068	Acrocephalus arundinaceus (Great reed-warbler)	303	ACRARU_R12068
A0A7K7PIB4	unreviewed	A0A7K7PIB4_ACRAR	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor)	Adra1b ACRARU_R10321	Acrocephalus arundinaceus (Great reed-warbler)	455	ACRARU_R10321
A0A7K7PIB6	unreviewed	A0A7K7PIB6_ACRAR	Multifunctional fusion protein [Includes: Fibroblast growth factor 1 (Acidic fibroblast growth factor) (Heparin-binding growth factor 1); Fibroblast growth factor (FGF)]	Fgf1 ACRARU_R00377	Acrocephalus arundinaceus (Great reed-warbler)	155	ACRARU_R00377
A0A7K7PID2	unreviewed	A0A7K7PID2_ACRAR	Ras-related GTP-binding protein	Rragd ACRARU_R03887	Acrocephalus arundinaceus (Great reed-warbler)	351	ACRARU_R03887
A0A7K7PIE8	unreviewed	A0A7K7PIE8_ACRAR	Frataxin, mitochondrial (EC 1.16.3.1)	Fxn ACRARU_R13852	Acrocephalus arundinaceus (Great reed-warbler)	144	ACRARU_R13852
A0A7K7PIH3	unreviewed	A0A7K7PIH3_ACRAR	E3 ubiquitin-protein ligase RNFT1 (EC 2.3.2.27) (RING finger and transmembrane domain-containing protein 1)	Rnft1 ACRARU_R10037	Acrocephalus arundinaceus (Great reed-warbler)	382	ACRARU_R10037
A0A7K7PIJ2	unreviewed	A0A7K7PIJ2_ACRAR	Glucosamine-6-phosphate isomerase (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase)	Gnpda1 ACRARU_R00378	Acrocephalus arundinaceus (Great reed-warbler)	254	ACRARU_R00378
A0A7K7PIL4	unreviewed	A0A7K7PIL4_ACRAR	furin (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme)	Furin ACRARU_R07457	Acrocephalus arundinaceus (Great reed-warbler)	785	ACRARU_R07457
A0A7K7PIL6	unreviewed	A0A7K7PIL6_ACRAR	BAR/IMD domain-containing adapter protein 2 (Brain-specific angiogenesis inhibitor 1-associated protein 2)	Baiap2 ACRARU_R13675	Acrocephalus arundinaceus (Great reed-warbler)	480	ACRARU_R13675
A0A7K7PIL7	unreviewed	A0A7K7PIL7_ACRAR	VTI1B protein	Vti1b ACRARU_R13463	Acrocephalus arundinaceus (Great reed-warbler)	200	ACRARU_R13463
A0A7K7PIM3	unreviewed	A0A7K7PIM3_ACRAR	receptor protein-tyrosine kinase (EC 2.7.10.1)	Ntrk3_0 ACRARU_R02339	Acrocephalus arundinaceus (Great reed-warbler)	110	ACRARU_R02339
A0A7K7PIN8	unreviewed	A0A7K7PIN8_ACRAR	AIG1 protein	Aig1 ACRARU_R01258	Acrocephalus arundinaceus (Great reed-warbler)	226	ACRARU_R01258
A0A7K7PIP8	unreviewed	A0A7K7PIP8_ACRAR	P2X purinoceptor	P2rx6 ACRARU_R00570	Acrocephalus arundinaceus (Great reed-warbler)	367	ACRARU_R00570
A0A7K7PIQ3	unreviewed	A0A7K7PIQ3_ACRAR	Pannexin	Panx3 PANX ACRARU_R11705	Acrocephalus arundinaceus (Great reed-warbler)	382	ACRARU_R11705
A0A7K7PIR3	unreviewed	A0A7K7PIR3_ACRAR	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1)	Gabra1 ACRARU_R11846	Acrocephalus arundinaceus (Great reed-warbler)	455	ACRARU_R11846
A0A7K7PIT8	unreviewed	A0A7K7PIT8_ACRAR	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	Cds1 ACRARU_R11247	Acrocephalus arundinaceus (Great reed-warbler)	422	ACRARU_R11247
A0A7K7PIU4	unreviewed	A0A7K7PIU4_ACRAR	E3 ubiquitin-protein ligase XIAP (EC 2.3.2.27) (Baculoviral IAP repeat-containing protein 4) (RING-type E3 ubiquitin transferase XIAP) (X-linked inhibitor of apoptosis protein)	Xiap ACRARU_R12172	Acrocephalus arundinaceus (Great reed-warbler)	494	ACRARU_R12172
A0A7K7PIW1	unreviewed	A0A7K7PIW1_ACRAR	Gamma-tubulin complex component	Tubgcp4 ACRARU_R07451	Acrocephalus arundinaceus (Great reed-warbler)	662	ACRARU_R07451
A0A7K7PIX1	unreviewed	A0A7K7PIX1_ACRAR	Angiotensinogen (Serpin A8)	Agt ACRARU_R02425	Acrocephalus arundinaceus (Great reed-warbler)	460	ACRARU_R02425
A0A7K7PIX4	unreviewed	A0A7K7PIX4_ACRAR	Secreted frizzled-related protein 3 (Frizzled-related protein 1) (FrzB-1)	Sfrp4 ACRARU_R08480	Acrocephalus arundinaceus (Great reed-warbler)	365	ACRARU_R08480
A0A7K7PIZ8	unreviewed	A0A7K7PIZ8_ACRAR	non-specific serine/threonine protein kinase (EC 2.7.11.1)	Trpm6 ACRARU_R03646	Acrocephalus arundinaceus (Great reed-warbler)	1991	ACRARU_R03646
A0A7K7PJ06	unreviewed	A0A7K7PJ06_ACRAR	Protein kinase C iota type (EC 2.7.11.13) (nPKC-iota)	Prkci ACRARU_R13873	Acrocephalus arundinaceus (Great reed-warbler)	601	ACRARU_R13873
A0A7K7PJ09	unreviewed	A0A7K7PJ09_ACRAR	Glucose-6-phosphatase catalytic subunit 1 (EC 3.1.3.9) (Glucose-6-phosphatase)	G6pc ACRARU_R13096	Acrocephalus arundinaceus (Great reed-warbler)	358	ACRARU_R13096
A0A7K7PJ17	unreviewed	A0A7K7PJ17_ACRAR	Bis(monoacylglycero)phosphate synthase CLN5 (Ceroid-lipofuscinosis neuronal protein 5) (Palmitoyl protein thioesterase CLN5) (S-depalmitoylase CLN5)	Cln5 ACRARU_R06770	Acrocephalus arundinaceus (Great reed-warbler)	303	ACRARU_R06770
A0A7K7PJ33	unreviewed	A0A7K7PJ33_ACRAR	GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1)	Pofut1 ACRARU_R07355	Acrocephalus arundinaceus (Great reed-warbler)	380	ACRARU_R07355
A0A7K7PJ52	unreviewed	A0A7K7PJ52_ACRAR	Tubulin gamma chain	Tubg1 ACRARU_R13084	Acrocephalus arundinaceus (Great reed-warbler)	427	ACRARU_R13084
A0A7K7PJ55	unreviewed	A0A7K7PJ55_ACRAR	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1)	Mknk1 ACRARU_R07624	Acrocephalus arundinaceus (Great reed-warbler)	411	ACRARU_R07624
A0A7K7PJ73	unreviewed	A0A7K7PJ73_ACRAR	Membrane-organizing extension spike protein	Msn ACRARU_R08838	Acrocephalus arundinaceus (Great reed-warbler)	578	ACRARU_R08838
A0A7K7PJB4	unreviewed	A0A7K7PJB4_ACRAR	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2 (EC 2.7.7.1) (EC 2.7.7.18) (Nicotinamide mononucleotide adenylyltransferase 2) (Nicotinate-nucleotide adenylyltransferase 2)	Nmnat2 ACRARU_R00861	Acrocephalus arundinaceus (Great reed-warbler)	308	ACRARU_R00861
A0A7K7PJC2	unreviewed	A0A7K7PJC2_ACRAR	Beclin-1	Becn1 ACRARU_R07514	Acrocephalus arundinaceus (Great reed-warbler)	448	ACRARU_R07514
A0A7K7PJI7	unreviewed	A0A7K7PJI7_ACRAR	non-specific serine/threonine protein kinase (EC 2.7.11.1)	Ripk2_0 ACRARU_R05088	Acrocephalus arundinaceus (Great reed-warbler)	596	ACRARU_R05088
A0A7K7PJJ1	unreviewed	A0A7K7PJJ1_ACRAR	3-oxo-5-alpha-steroid 4-dehydrogenase 2 (EC 1.3.1.22) (5 alpha-SR2) (SR type 2) (Steroid 5-alpha-reductase 2)	Srd5a2 ACRARU_R06712	Acrocephalus arundinaceus (Great reed-warbler)	256	ACRARU_R06712
A0A7K7PJM9	unreviewed	A0A7K7PJM9_ACRAR	E3 ubiquitin-protein ligase (EC 2.3.2.26)	Hectd1 ACRARU_R00842	Acrocephalus arundinaceus (Great reed-warbler)	2523	ACRARU_R00842
A0A7K7PJS6	unreviewed	A0A7K7PJS6_ACRAR	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.24)	Ppip5k1 ACRARU_R02129	Acrocephalus arundinaceus (Great reed-warbler)	1203	ACRARU_R02129
A0A7K7PJT8	unreviewed	A0A7K7PJT8_ACRAR	AMD monooxygenase	Pam ACRARU_R05859	Acrocephalus arundinaceus (Great reed-warbler)	975	ACRARU_R05859
A0A7K7PJT9	unreviewed	A0A7K7PJT9_ACRAR	Villin-1	Vil1_0 ACRARU_R00064	Acrocephalus arundinaceus (Great reed-warbler)	826	ACRARU_R00064
A0A7K7PJX5	unreviewed	A0A7K7PJX5_ACRAR	Small COPII coat GTPase SAR1B (EC 3.6.5.2)	Sar1b ACRARU_R08087	Acrocephalus arundinaceus (Great reed-warbler)	180	ACRARU_R08087
A0A7K7PJY5	unreviewed	A0A7K7PJY5_ACRAR	4-hydroxy-2-oxoglutarate aldolase, mitochondrial (EC 4.1.3.16) (Dihydrodipicolinate synthase-like) (Probable 2-keto-4-hydroxyglutarate aldolase)	Hoga1 ACRARU_R09085	Acrocephalus arundinaceus (Great reed-warbler)	333	ACRARU_R09085
A0A7K7PK00	unreviewed	A0A7K7PK00_ACRAR	GBRB3 protein	Gabrb3_1 ACRARU_R00768	Acrocephalus arundinaceus (Great reed-warbler)	453	ACRARU_R00768
A0A7K7PK26	unreviewed	A0A7K7PK26_ACRAR	Protein PALS1 (MAGUK p55 subfamily member 5) (Protein associated with Lin-7 1)	Mpp5 ACRARU_R13469	Acrocephalus arundinaceus (Great reed-warbler)	675	ACRARU_R13469
A0A7K7PK71	unreviewed	A0A7K7PK71_ACRAR	m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Decapping scavenger enzyme) (Hint-related 7meGMP-directed hydrolase) (Histidine triad nucleotide-binding protein 5) (Histidine triad protein member 5) (Scavenger mRNA-decapping enzyme DcpS)	Dcps_0 ACRARU_R03718	Acrocephalus arundinaceus (Great reed-warbler)	201	ACRARU_R03718
A0A7K7PKA6	unreviewed	A0A7K7PKA6_ACRAR	Nucleophosmin	Npm1 ACRARU_R13809	Acrocephalus arundinaceus (Great reed-warbler)	278	ACRARU_R13809
A0A7K7PKB3	unreviewed	A0A7K7PKB3_ACRAR	RCR-type E3 ubiquitin transferase (EC 2.3.2.33)	Mycbp2 ACRARU_R05216	Acrocephalus arundinaceus (Great reed-warbler)	4318	ACRARU_R05216
A0A7K7PKE1	unreviewed	A0A7K7PKE1_ACRAR	Tumor necrosis factor ligand superfamily member 6 (Fas antigen ligand)	Faslg ACRARU_R08346	Acrocephalus arundinaceus (Great reed-warbler)	252	ACRARU_R08346
A0A7K7PKE9	unreviewed	A0A7K7PKE9_ACRAR	Glypican-1	Gpc1 ACRARU_R13961	Acrocephalus arundinaceus (Great reed-warbler)	551	ACRARU_R13961
A0A7K7PKG1	unreviewed	A0A7K7PKG1_ACRAR	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 (EC 2.8.2.8) (Glucosaminyl N-deacetylase/N-sulfotransferase 1)	Ndst1 ACRARU_R04705	Acrocephalus arundinaceus (Great reed-warbler)	877	ACRARU_R04705
A0A7K7PKI1	unreviewed	A0A7K7PKI1_ACRAR	E3 ubiquitin-protein ligase (EC 2.3.2.27)	Rnf146 ACRARU_R02256	Acrocephalus arundinaceus (Great reed-warbler)	353	ACRARU_R02256
A0A7K7PKJ0	unreviewed	A0A7K7PKJ0_ACRAR	Alpha-1,4 glucan phosphorylase (EC 2.4.1.1)	Pygb ACRARU_R09029	Acrocephalus arundinaceus (Great reed-warbler)	843	ACRARU_R09029
A0A7K7PKJ6	unreviewed	A0A7K7PKJ6_ACRAR	MMP17 protein	Mmp17 ACRARU_R09857	Acrocephalus arundinaceus (Great reed-warbler)	564	ACRARU_R09857
A0A7K7PKL2	unreviewed	A0A7K7PKL2_ACRAR	MMP24 protein	Mmp24 ACRARU_R12244	Acrocephalus arundinaceus (Great reed-warbler)	564	ACRARU_R12244
A0A7K7PKL9	unreviewed	A0A7K7PKL9_ACRAR	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (RING-type E3 ubiquitin transferase CHIP)	Stub1 ACRARU_R01632	Acrocephalus arundinaceus (Great reed-warbler)	301	ACRARU_R01632
A0A7K7PKN3	unreviewed	A0A7K7PKN3_ACRAR	Pancreatic triacylglycerol lipase (EC 3.1.1.3)	Pnliprp1 ACRARU_R13528	Acrocephalus arundinaceus (Great reed-warbler)	257	ACRARU_R13528
